,Open_time,Open,High,Low,Close,Volume,Close_time,Quote asset volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume,Ignore
322,1547997600000,0.00872,0.008726,0.00872,0.008723,45.25,1547997659999,0.3946491,19,39.46,0.34414756,0
323,1547997660000,0.008725,0.008726,0.008724,0.008724,10.43,1547997719999,0.09100361,11,5.02,0.04380398,0
324,1547997720000,0.008725,0.008725,0.008723,0.008723,38.14,1547997779999,0.33274517,13,24.91,0.21733019,0
325,1547997780000,0.008724,0.008729,0.008721,0.008724,59.06,1547997839999,0.5152125,23,19.73,0.17217402,0
326,1547997840000,0.008721,0.008722,0.00872,0.00872,78.41,1547997899999,0.68375601,11,5.02,0.04378444,0
327,1547997900000,0.00872,0.00872,0.008711,0.008713,20.34,1547997959999,0.17731055,11,6.8,0.05927353,0
328,1547997960000,0.008712,0.008717,0.008712,0.008714,17.52,1547998019999,0.15268266,11,6.56,0.05717887,0
329,1547998020000,0.008711,0.008717,0.008711,0.008713,17.86,1547998079999,0.15562923,10,5.31,0.04627898,0
330,1547998080000,0.008713,0.008719,0.008713,0.008718,28.15,1547998139999,0.24533724,15,4.59,0.04001473,0
331,1547998140000,0.008718,0.008719,0.008715,0.008715,22.49,1547998199999,0.19605798,10,20.4,0.17784363,0
332,1547998200000,0.008716,0.008718,0.008715,0.008718,21.08,1547998259999,0.18374211,5,21.08,0.18374211,0
333,1547998260000,0.008717,0.008725,0.008717,0.00872,10.41,1547998319999,0.09078146,5,4.26,0.03715346,0
334,1547998320000,0.008723,0.008728,0.008722,0.008727,20.55,1547998379999,0.17928809,7,15.85,0.13828059,0
335,1547998380000,0.008724,0.008724,0.00871,0.008717,150.73,1547998439999,1.31466335,16,0.62,0.00540654,0
336,1547998440000,0.008717,0.008721,0.008717,0.008719,36.46,1547998499999,0.31784662,11,31.3,0.27286174,0
337,1547998500000,0.008718,0.008719,0.008713,0.008717,16.04,1547998559999,0.13982664,8,10.61,0.09249862,0
338,1547998560000,0.008717,0.008717,0.008714,0.008717,14.08,1547998619999,0.12271682,6,13.21,0.11513303,0
339,1547998620000,0.008717,0.00872,0.008714,0.008714,103.62,1547998679999,0.90312033,22,39.76,0.34663238,0
340,1547998680000,0.008709,0.008714,0.008707,0.008707,29.77,1547998739999,0.25926755,8,4.48,0.03903297,0
341,1547998740000,0.008708,0.008713,0.008707,0.008708,31.29,1547998799999,0.27252218,11,13.33,0.11613076,0
342,1547998800000,0.008712,0.008712,0.00869,0.008698,143.35,1547998859999,1.24700157,52,25.46,0.22142377,0
343,1547998860000,0.008698,0.008701,0.008691,0.008697,27.96,1547998919999,0.24314753,12,13.22,0.11499549,0
344,1547998920000,0.008699,0.008701,0.008694,0.008698,34.43,1547998979999,0.29946099,31,24.65,0.21442234,0
345,1547998980000,0.008701,0.008705,0.008678,0.008683,1754.52,1547999039999,15.2453429,38,43.68,0.37967601,0
346,1547999040000,0.008679,0.008694,0.008677,0.008685,70.23,1547999099999,0.60983396,31,40.08,0.34812205,0
347,1547999100000,0.008686,0.008693,0.008678,0.008683,35.71,1547999159999,0.31003967,18,7.38,0.06409671,0
348,1547999160000,0.008678,0.008684,0.00867,0.008684,235.68,1547999219999,2.0438792,28,51.59,0.44758886,0
349,1547999220000,0.008683,0.008684,0.008671,0.008683,62.81,1547999279999,0.54499242,19,15.41,0.1337886,0
350,1547999280000,0.008682,0.008685,0.008676,0.008679,21.85,1547999339999,0.18964507,6,13.76,0.11945623,0
351,1547999340000,0.008684,0.008685,0.008676,0.008684,124.11,1547999399999,1.07765982,13,102.62,0.89114022,0
352,1547999400000,0.008682,0.008696,0.008682,0.00869,26.95,1547999459999,0.23418745,14,21.64,0.18804776,0
353,1547999460000,0.008686,0.008695,0.008681,0.008687,115.98,1547999519999,1.00746467,15,109.58,0.95188632,0
354,1547999520000,0.008687,0.008694,0.008686,0.008691,28.0,1547999579999,0.24332892,13,18.21,0.15827506,0
355,1547999580000,0.008691,0.008692,0.008671,0.008671,280.77,1547999639999,2.43720766,18,7.51,0.06527039,0
356,1547999640000,0.008688,0.008693,0.008685,0.008685,11.6,1547999699999,0.10075565,8,1.11,0.00964098,0
357,1547999700000,0.008687,0.008693,0.008686,0.008689,55.89,1547999759999,0.4856028,11,37.28,0.32392453,0
358,1547999760000,0.008688,0.008688,0.008688,0.008688,13.21,1547999819999,0.11476848,3,0.0,0.0,0
359,1547999820000,0.008687,0.008689,0.008681,0.008686,62.79,1547999879999,0.54540294,22,7.74,0.06724194,0
360,1547999880000,0.008686,0.008686,0.008677,0.00868,48.28,1547999939999,0.41913675,17,32.11,0.27882374,0
361,1547999940000,0.008679,0.008683,0.008678,0.008679,109.77,1547999999999,0.95297138,25,82.33,0.71482299,0
362,1548000000000,0.008674,0.008691,0.00867,0.00869,271.66,1548000059999,2.3561936,31,150.79,1.30806214,0
363,1548000060000,0.008688,0.008696,0.00867,0.00867,197.38,1548000119999,1.71183328,33,12.17,0.1056569,0
364,1548000120000,0.00867,0.008671,0.008655,0.008655,1450.05,1548000179999,12.5708448,84,85.66,0.74222048,0
365,1548000180000,0.008657,0.008686,0.008653,0.008653,610.06,1548000239999,5.28639821,86,261.35,2.26579811,0
366,1548000240000,0.008657,0.008676,0.00865,0.008673,384.05,1548000299999,3.3232047,37,106.2,0.9197063,0
367,1548000300000,0.008673,0.008673,0.00866,0.008663,14.09,1548000359999,0.12204504,4,7.29,0.06315327,0
368,1548000360000,0.008661,0.00867,0.008661,0.00867,105.31,1548000419999,0.91277269,12,98.43,0.85317449,0
369,1548000420000,0.00867,0.008671,0.008663,0.00867,172.33,1548000479999,1.49364743,28,156.55,1.35687933,0
370,1548000480000,0.008669,0.008675,0.008664,0.00867,144.62,1548000539999,1.25386143,17,103.53,0.89776537,0
371,1548000540000,0.008668,0.008673,0.008655,0.008666,25.14,1548000599999,0.21778384,16,12.91,0.11186717,0
372,1548000600000,0.008659,0.008668,0.008652,0.008664,28.41,1548000659999,0.24603432,16,7.35,0.06367562,0
373,1548000660000,0.008668,0.008674,0.008663,0.008673,84.56,1548000719999,0.73279631,26,63.11,0.54693092,0
